cp_true,cp_min,cp_1se,cp_pw,lfc,nRep
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,0,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,2,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,2,2,3,0.75,3
1,0,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,0,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,0,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,5,0.75,3
1,0,1,4,0.75,3
1,0,1,3,0.75,3
1,1,1,4,0.75,3
1,2,2,3,0.75,3
1,1,1,3,0.75,3
1,2,2,4,0.75,3
1,1,2,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,2,4,0.75,3
1,0,1,3,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,0,0,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,2,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,0,0,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,0,0,4,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,2,2,4,0.75,3
1,0,1,2,0.75,3
1,0,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,5,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,0,0,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,2,4,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,2,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,0,4,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,0,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,0,0,2,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,5,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,0,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,2,NA,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,0,2,4,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,0,2,4,0.75,3
1,0,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,2,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,0,2,4,0.75,3
1,1,1,2,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,0,2,NA,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,4,0.75,3
1,0,2,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,5,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,0,2,4,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,2,2,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,0,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,5,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,0,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,5,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,2,2,5,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,0,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,2,5,0.75,3
1,0,0,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,0,4,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,5,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,0,0,3,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,0,2,5,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,0,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,2,5,0.75,3
1,1,2,4,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,0,2,0.75,3
1,1,1,3,0.75,3
1,0,2,4,0.75,3
1,0,2,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,0,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,0,1,3,0.75,3
1,1,2,5,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,NA,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,0,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,5,0.75,3
1,0,1,3,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,2,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,5,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,NA,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,2,5,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,2,2,3,0.75,3
1,0,1,2,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,0,0,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,2,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,0,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,0,2,5,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,5,0.75,3
1,1,2,3,0.75,3
1,1,1,2,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,0,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,2,2,4,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,2,4,0.75,3
1,1,1,4,0.75,3
1,0,1,4,0.75,3
1,1,2,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,0,2,3,0.75,3
1,1,3,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,0,2,5,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,2,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,3,0.75,3
1,1,1,2,0.75,3
1,0,0,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,0,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,2,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,2,4,0.75,3
1,0,0,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,0,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,5,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,2,3,0.75,3
1,1,2,4,0.75,3
1,1,2,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,2,0.75,3
1,1,1,4,0.75,3
1,1,1,4,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,2,0.75,3
1,1,1,4,0.75,3
1,1,2,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,4,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,0,0,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,NA,0.75,3
1,1,1,3,0.75,3
1,1,1,2,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,1,3,0.75,3
1,1,2,4,0.75,3
